2014年,インフルエンザ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
週数,第1週,第2週,第3週,第4週,第5週,第6週,第7週,第8週,第9週,第10週,第11週,第12週,第13週,第14週,第15週,第16週,第17週,第18週,第19週,第20週,第21週,第22週,第23週,第24週,第25週,第26週,第27週,第28週,第29週,第30週,第31週,第32週,第33週,第34週,第35週,第36週,第37週,第38週,第39週,第40週,第41週,第42週,第43週,第44週,第45週,第46週,第47週,第48週,第49週,第50週,第51週,第52週
市全体（報告数/定点数）,0.178571429,2.814814815,9.75,25.32142857,31.32142857,33.25,26.21428571,25.53571429,30.60714286,21.46428571,19.89285714,16.7037037,10.59259259,4.407407407,4.111111111,3.703703704,3.296296296,1.652173913,0.518518519,0.592592593,0.074074074,0.074074074,0.035714286,0,0,0.071428571,0.035714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0.230769231,0.035714286,0.285714286,0.571428571,0.571428571,1.107142857,3.111111111,5.357142857,7.964285714,12.75,20.21428571,31.08
中央区（報告数/定点数）,0.75,7,22.25,47.25,63,54,34,35.25,44.5,24.25,21,17.75,15,7,6.25,4.75,6.75,2,0,1.75,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,2.5,7,7.8,15,27.6,40.4
花見川区（報告数/定点数）,0,1,3.75,15.5,17.25,20.25,17,16.5,17,15.5,14,12,5.25,1.75,1,0.75,1.25,0.75,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.75,1.25,1.5,2.5,3.75,4.75,7,14.5
稲毛区（報告数/定点数）,0.2,2.8,12.8,21.4,27.8,37.4,29.2,24.8,25.2,16.4,18.6,13.2,10.2,4.2,3.8,3.2,2.6,0.5,0.4,0.2,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.4,1.8,3.8,7.4,17.2,21.2
若葉区（報告数/定点数）,0,2.25,9,20,25.25,23,19.25,21.75,30.75,21,21,22,13.75,5.5,4,6.75,5.25,5,1.25,0.25,0,0.25,0.25,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,1.75,4.75,5.75,9.25,15.25,29.25,37
緑区（報告数/定点数）,0.166666667,2.5,6.166666667,23.66666667,29.5,35,25,26.66666667,34.66666667,24.5,20.83333333,18.2,7.8,3.2,4.2,3.4,3,0.8,0.8,1.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,6.8,10,15.6,24,26.6,37.4
美浜区（報告数/定点数）,0,2.6,6.4,25.8,27.8,29,31.4,27.4,30.8,25.8,23,17.4,12,5,5.2,3.6,1.6,2,0.6,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0.2,1.2,2.4,2.6,1.2,2.6,4.6,7,9,12.8,26.25
流行警報開始基準値（報告数/定点数）,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
流行警報終息基準値（報告数/定点数）,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
流行注意報基準値（報告数/定点数）,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
