2015年,インフルエンザ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
週数,第1週,第2週,第3週,第4週,第5週,第6週,第7週,第8週,第9週,第10週,第11週,第12週,第13週,第14週,第15週,第16週,第17週,第18週,第19週,第20週,第21週,第22週,第23週,第24週,第25週,第26週,第27週,第28週,第29週,第30週,第31週,第32週,第33週,第34週,第35週,第36週,第37週,第38週,第39週,第40週,第41週,第42週,第43週,第44週,第45週,第46週,第47週,第48週,第49週,第50週,第51週,第52週,
市全体（報告数/定点数）,4.038461538,25.77777778,27.92857143,31.71428571,27.21428571,16.75,9.107142857,7.071428571,6.928571429,3.178571429,3.392857143,3.5,2.678571429,2.037037037,1.074074074,2.518518519,2.37037037,0.869565217,0.592592593,0.111111111,0,0.038461538,0.035714286,0,0,0,0,0,0.037037037,0,0.035714286,0.035714286,0.041666667,0,0,0,0,0,0.037037037,0.074074074,0.04,0.071428571,0.142857143,0,0.071428571,0.071428571,0.285714286,0.071428571,0.071428571,0.107142857,0.071428571,0.148148148,0
中央区（報告数/定点数）,4.6,42.25,41.2,41.4,38.4,26.8,15,14,9.4,4,4.6,5.4,2.4,3.25,1,2.6,4.4,1.2,0.4,0.2,0,0,0,0,0,0,0,0,0,0,0.166666667,0.166666667,0,0,0,0,0,0,0,0.166666667,0.2,0,0,0,0.166666667,0,0.5,0.333333333,0,0.166666667,0.166666667,0.5,0
花見川区（報告数/定点数）,5,21.75,19.5,21,21,11.5,6.5,4,2.75,2.25,1.5,1.25,1,0.5,0.75,3,1,1,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0.25,0,0,0
稲毛区（報告数/定点数）,6,33.2,40.4,39.2,28.6,11.4,5.6,3.4,2.6,1.6,1,1.6,1,0.8,0.75,2,1,0.5,0.5,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0,0,0,0,0.25,0.25,0,0
若葉区（報告数/定点数）,5,28.75,25.25,43.75,32,19.5,10.5,5.25,7.5,2.25,5.25,6,5,3.5,1.75,4.75,6,2.333333333,0.75,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0.25,0.25,0,0,0.5,0,0,0.25,0.5,0,0.25,0,0,0,0
緑区（報告数/定点数）,3.6,19.4,18,20.8,22.2,13,5.2,5,4.6,2.4,4.2,3.2,4.4,2.6,0.6,2.8,2,0.666666667,0.4,0.2,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0.2,0,0,0,0
美浜区（報告数/定点数）,0.8,12.4,21,24.4,20.8,17.8,11.6,9.8,14,6.2,3.8,3.6,2.4,1.8,1.6,0.4,0,0,0.8,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0,0,0,0,0,0,0.2,0
流行警報開始基準値（報告数/定点数）,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
流行警報終息基準値（報告数/定点数）,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
流行注意報基準値（報告数/定点数）,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
